Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenues_M,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,Website,CompanyType,Footnote,MarketCap_Updated_M,Updated
543,T. Rowe Price,TROW,Financials,Securities,yes,no,no,yes,-6.0,no,yes,n/a,no,yes,no,7906,27266.7,6460.5,-0.4,1788.7,14.8,12278.8,Robert W. Sharps,U.S.,Baltimore,Maryland,https://www.troweprice.com,Public,"Market value as of March 28, 2024.",27267.0,2024-06-04
544,Ralph Lauren,RL,Apparel,Apparel,yes,no,no,yes,17.0,yes,no,n/a,no,yes,no,19100,12002.7,6443.6,3.6,522.7,-12.9,6789.5,Patrice Louvet,U.S.,New York,New York,https://www.ralphlauren.com,Public,"Figures are for fiscal year ended March 31, 2023. Market value as of March 28, 2024.",12003.0,2024-06-04
545,KB Home,KBH,Engineering & Construction,Homebuilders,yes,no,no,no,-27.0,no,yes,n/a,no,no,no,2205,5361.6,6410.6,-7.1,590.2,-27.7,6648.4,Jeffrey T. Mezger,U.S.,Los Angeles,California,https://www.kbhome.com,Public,"Figures are for fiscal year ended Nov. 30, 2023. Market value as of March 28, 2024.",5362.0,2024-06-04
546,Brunswick,BC,Transportation,Transportation Equipment,yes,no,no,no,-23.0,no,yes,n/a,no,no,no,18104,6555.5,6401.4,-6.0,420.4,-37.9,6230.5,David M. Foulkes,U.S.,Mettawa,Illinois,https://www.brunswick.com,Public,"Market value as of March 28, 2024.",6556.0,2024-06-04
547,Robert Half,RHI,Business Services,Temporary Help,yes,no,no,no,-47.0,no,yes,n/a,no,yes,yes,15000,8340.9,6392.5,-11.7,411.1,-37.5,3010.8,M. Keith Waddell,U.S.,Menlo Park,California,https://www.roberthalf.com,Public,"Changed name from Robert Half International, July 17, 2023. Market value as of March 28, 2024.",8341.0,2024-06-04
548,PENN Entertainment,PENN,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",no,no,no,yes,-6.0,no,yes,n/a,no,no,no,23333,2775.6,6362.9,-0.6,-490.0,-320.6,16064.2,Jay A. Snowden,U.S.,Wyomissing,Pennsylvania,https://www.pennentertainment.com,Public,"Market value as of March 28, 2024.",2776.0,2024-06-04
549,NetApp,NTAP,Technology,"Computers, Office Equipment",yes,no,no,no,6.0,yes,no,n/a,no,no,no,12000,21663.4,6362.0,0.7,1274.0,36.0,9818.0,George Kurian,U.S.,San Jose,California,https://www.netapp.com,Public,"Figures are for fiscal year ended April 30, 2023. Market value as of March 28, 2024.",21663.0,2024-06-04
550,Organon,OGN,Health Care,Pharmaceuticals,yes,no,no,no,18.0,yes,no,n/a,no,no,no,10000,4806.0,6263.0,1.4,1023.0,11.6,12058.0,Kevin Ali,U.S.,Jersey City,New Jersey,https://www.organon.com,Public,"Market value as of March 28, 2024.",4806.0,2024-06-04
551,Petco Health and Wellness,WOOF,Retailing,Specialty Retailers: Other,no,no,no,no,20.0,yes,no,n/a,no,no,no,29000,698.3,6255.3,3.6,-1280.2,-1509.9,5363.2,Joel D. Anderson,U.S.,San Diego,California,https://www.petco.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",698.0,2024-06-04
552,Regal Rexnord,RRX,Industrials,"Electronics, Electrical Equip.",no,no,no,yes,79.0,yes,no,n/a,no,no,no,32100,11977.1,6250.7,19.8,-57.4,-111.7,15431.4,Louis V. Pinkham,U.S.,Milwaukee,Wisconsin,https://www.regalrexnord.com,Public,"Market value as of March 28, 2024.",11977.0,2024-06-04
553,Resideo Technologies,REZI,Materials,"Building Materials, Glass",yes,no,no,no,-7.0,no,yes,n/a,no,no,no,14000,3258.0,6242.0,-2.0,210.0,-25.8,6645.0,Jay L. Geldmacher,U.S.,Scottsdale,Arizona,https://www.resideo.com,Public,"Market value as of March 28, 2024.",3258.0,2024-06-04
554,Camping World Holdings,CWH,Retailing,"Automotive Retailing, Services",yes,no,no,no,-38.0,no,yes,n/a,no,no,no,12459,2354.4,6226.5,-10.6,31.0,-77.3,4845.7,Marcus A. Lemonis,U.S.,Lincolnshire,Illinois,https://www.campingworld.com,Public,"Market value as of March 28, 2024.",2354.0,2024-06-04
555,Huntsman,HUN,Chemicals,Chemicals,yes,no,no,no,-122.0,no,yes,n/a,no,no,no,6000,4503.1,6199.0,-28.9,101.0,-78.0,7248.0,Peter R. Huntsman,U.S.,The Woodlands,Texas,https://www.huntsman.com,Public,"Includes revenues from discontinued operations. Market value as of March 28, 2024.",4503.0,2024-06-04
556,Victoria's Secret,VSCO,Retailing,Specialty Retailers: Apparel,yes,no,no,no,-6.0,no,yes,n/a,no,no,no,21500,1503.4,6181.8,-2.6,109.2,-68.6,4600.0,Hillary Super,U.S.,Reynoldsburg,Ohio,https://www.victoriassecretandco.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",1503.0,2024-06-04
557,Levi Strauss,LEVI,Apparel,Apparel,yes,no,yes,yes,12.0,yes,no,n/a,no,no,no,19100,7956.6,6179.0,0.2,249.6,-56.1,6053.6,Michelle  Gass,U.S.,San Francisco,California,https://www.levistrauss.com,Public,"Figures are for fiscal year ended Nov. 30, 2023. Market value as of March 28, 2024.",7957.0,2024-06-04
558,Roper Technologies,ROP,Technology,Computer Software,yes,no,no,yes,49.0,yes,no,n/a,no,no,no,16800,60022.4,6177.8,12.9,1384.2,-69.5,28167.5,L. Neil Hunn,U.S.,Sarasota,Florida,https://www.ropertech.com,Public,"Market value as of March 28, 2024.",60022.0,2024-06-04
559,Academy Sports and Outdoors,ASO,Retailing,Specialty Retailers: Other,yes,no,no,yes,-15.0,no,yes,n/a,no,no,no,16509,5025.3,6159.3,-3.7,519.2,-17.3,4676.7,Steven P. Lawrence,U.S.,Katy,Texas,https://www.academy.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",5025.0,2024-06-04
560,Meritage Homes,MTH,Engineering & Construction,Homebuilders,yes,no,no,no,-3.0,no,yes,n/a,no,no,no,1838,6346.3,6138.3,-2.4,738.7,-25.5,6353.1,Phillippe Lord,U.S.,Scottsdale,Arizona,https://www.meritagehomes.com,Public,"Market value as of March 28, 2024.",6346.0,2024-06-04
561,American Axle & Manufacturing,AXL,Motor Vehicles & Parts,Motor Vehicles & Parts,no,no,no,no,27.0,yes,no,n/a,no,no,no,19000,865.1,6079.5,4.8,-33.6,-152.3,5356.3,David C. Dauch,U.S.,Detroit,Michigan,https://www.aam.com,Public,"Market value as of March 28, 2024.",865.0,2024-06-04
562,Fortive,FTV,Industrials,"Electronics, Electrical Equip.",yes,no,no,no,25.0,yes,no,n/a,no,no,no,18000,30225.7,6065.3,4.1,865.8,14.6,16911.8,James A. Lico,U.S.,Everett,Washington,https://www.fortive.com,Public,"Market value as of March 28, 2024.",30226.0,2024-06-04
563,Nasdaq,NDAQ,Financials,Securities,yes,no,yes,yes,-4.0,no,yes,n/a,no,no,no,8525,36295.5,6064.0,-2.6,1059.0,-5.9,32294.0,Adena T. Friedman,U.S.,New York,New York,https://www.nasdaq.com,Public,"Market value as of March 28, 2024.",36296.0,2024-06-04
564,Broadridge Financial Solutions,BR,Business Services,Financial Data Services,yes,no,no,yes,32.0,yes,no,n/a,no,yes,no,14700,24126.8,6060.9,6.2,630.6,17.0,8233.2,Timothy C. Gokey,U.S.,Lake Success,New York,https://www.broadridge.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of March 28, 2024.",24127.0,2024-06-04
565,Spirit AeroSystems Holdings,SPR,Aerospace & Defense,Aerospace & Defense,no,no,no,yes,80.0,yes,no,n/a,no,no,no,20655,4192.2,6047.9,20.2,-616.2,,6950.1,Patrick M. Shanahan,U.S.,Wichita,Kansas,https://www.spiritaero.com,Public,"Market value as of March 28, 2024.",4192.0,2024-06-04
566,Warner Music Group,WMG,Media,Entertainment,yes,no,no,no,15.0,yes,no,n/a,no,yes,no,5900,17100.4,6037.0,2.0,430.0,-22.0,8545.0,Robert Kyncl,U.S.,New York,New York,https://www.wmg.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of March 28, 2024.",17100.0,2024-06-04
567,Chemours,CC,Chemicals,Chemicals,no,no,yes,no,-43.0,no,yes,n/a,no,no,no,6200,3907.5,6027.0,-11.3,-238.0,-141.2,8251.0,Denise  Dignam,U.S.,Wilmington,Delaware,https://www.chemours.com,Public,"Market value as of March 28, 2024.",3908.0,2024-06-04
568,ADT,ADT,Business Services,Diversified Outsourcing Services,yes,no,no,no,-25.0,no,yes,n/a,no,no,no,14300,6117.7,6017.7,-5.9,463.0,249.0,15964.1,James D. DeVries,U.S.,Boca Raton,Florida,https://www.adt.com,Public,"Includes revenues from discontinued operations. Market value as of March 28, 2024.",6118.0,2024-06-04
569,Edwards Lifesciences,EW,Health Care,Medical Products and Equipment,yes,no,no,yes,48.0,yes,no,n/a,no,no,no,19800,57520.1,6004.8,11.6,1402.4,-7.9,9363.2,Bernard J. Zovighian,U.S.,Irvine,California,https://www.edwards.com,Public,"Market value as of March 28, 2024.",57520.0,2024-06-04
570,First American Financial,FAF,Financials,Insurance: Property and Casualty (Stock),yes,no,no,no,-89.0,no,yes,n/a,no,no,yes,19210,6294.3,6003.5,-21.1,216.8,-17.6,16802.8,Kenneth D. DeGiorgio,U.S.,Santa Ana,California,https://www.firstam.com,Public,"Market value as of March 28, 2024.",6294.0,2024-06-04
571,Hanover Insurance Group,THG,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,37.0,yes,no,n/a,no,no,no,4800,4892.5,5993.5,9.6,35.3,-69.6,14612.6,John C. Roche,U.S.,Worcester,Massachusetts,https://www.hanover.com,Public,"Market value as of March 28, 2024.",4893.0,2024-06-04
572,Silgan Holdings,SLGN,Materials,"Packaging, Containers",yes,no,no,no,-32.0,no,yes,n/a,no,no,no,14400,5185.0,5988.2,-6.6,326.0,-4.4,7611.2,Adam J. Greenlee,U.S.,Stamford,Connecticut,https://www.silganholdings.com,Public,"Market value as of March 28, 2024.",5185.0,2024-06-04
573,Endeavor Group Holdings,EDR,Media,Entertainment,yes,yes,no,no,53.0,yes,no,n/a,no,no,no,10000,17817.4,5960.2,13.1,356.5,176.1,21544.8,Ariel Emanuel,U.S.,Beverly Hills,California,https://www.endeavorco.com,Public,"Market value as of March 28, 2024.",17817.0,2024-06-04
574,Moody's,MCO,Business Services,Financial Data Services,yes,no,no,yes,36.0,yes,no,n/a,no,yes,no,15151,71752.2,5916.0,8.2,1607.0,17.0,14622.0,Robert S. Fauber,U.S.,New York,New York,https://www.moodys.com,Public,"Market value as of March 28, 2024.",71752.0,2024-06-04
575,Coterra Energy,CTRA,Energy,"Mining, Crude-Oil Production",yes,no,no,no,-155.0,no,yes,n/a,no,no,no,1083,20946.0,5914.0,-34.7,1625.0,-60.0,20415.0,Thomas E. Jorden,U.S.,Houston,Texas,https://www.coterra.com,Public,"Market value as of March 28, 2024.",20946.0,2024-06-04
576,Gartner,IT,Technology,Information Technology Services,yes,no,no,yes,30.0,yes,no,n/a,no,yes,no,20237,37165.0,5907.0,7.9,882.5,9.2,7835.9,Eugene A. Hall,U.S.,Stamford,Connecticut,https://www.gartner.com,Public,"Market value as of March 28, 2024.",37165.0,2024-06-04
577,Under Armour,UAA,Apparel,Apparel,yes,yes,no,no,17.0,yes,no,n/a,no,no,no,11078,3157.4,5903.6,3.1,386.8,73.7,4857.1,Kevin A. Plank,U.S.,Baltimore,Maryland,https://about.underarmour.com,Public,"Figures are for fiscal year ended March 31, 2023. Market value as of March 28, 2024.",3157.0,2024-06-04
578,Ingles Markets,IMKTA,Food & Drug Stores,Food & Drug Stores,yes,no,no,yes,20.0,yes,no,n/a,no,no,no,19540,1456.5,5892.8,3.8,210.8,-22.7,2473.8,James W. Lanning,U.S.,Black Mountain,North Carolina,https://www.ingles-markets.com,Public,"Figures are for fiscal year ended Sept. 30, 2023. Market value as of March 28, 2024.",1457.0,2024-06-04
579,Church & Dwight,CHD,Household Products,Household and Personal Products,yes,no,no,yes,39.0,yes,no,n/a,no,no,no,5550,25441.7,5867.9,9.2,755.6,82.6,8569.2,Matthew T. Farrell,U.S.,Ewing,New Jersey,https://www.churchdwight.com,Public,"Market value as of March 28, 2024.",25442.0,2024-06-04
580,Old Dominion Freight Line,ODFL,Transportation,"Trucking, Truck Leasing",yes,no,no,no,-22.0,no,yes,n/a,no,no,no,22902,47738.1,5866.2,-6.3,1239.5,-10.0,5512.4,Kevin M. Freeman,U.S.,Thomasville,North Carolina,https://www.odfl.com,Public,"Market value as of March 28, 2024.",47738.0,2024-06-04
581,U-Haul Holding,UHAL,Transportation,"Trucking, Truck Leasing",yes,no,no,yes,12.0,yes,no,n/a,no,no,no,26501,13091.3,5864.7,2.2,923.0,-17.8,18124.6,Edward J. Shoen,U.S.,Reno,Nevada,https://www.uhaul.com,Public,"Figures are for fiscal year ended March 31, 2023. Market value as of March 28, 2024.",13091.0,2024-06-04
582,Oscar Health,OSCR,Health Care,Health Care: Insurance and Managed Care,no,no,no,no,164.0,yes,no,n/a,no,no,no,2400,3416.0,5862.9,47.9,-270.7,,3601.5,Mark T. Bertolini,U.S.,New York,New York,https://www.hioscar.com,Public,"Market value as of March 28, 2024.",3416.0,2024-06-04
583,Arista Networks,ANET,Technology,Network and Other Communications Equipment,yes,no,yes,yes,126.0,yes,no,n/a,no,no,no,4023,90657.5,5860.2,33.8,2087.3,54.3,9946.8,Jayshree V. Ullal,U.S.,Santa Clara,California,https://www.arista.com,Public,"Market value as of March 28, 2024.",90658.0,2024-06-04
584,Synopsys,SNPS,Technology,Computer Software,yes,no,no,yes,58.0,yes,no,n/a,no,no,no,20300,87178.7,5842.6,15.0,1229.9,24.9,10333.1,Sassine Ghazi,U.S.,Sunnyvale,California,https://www.synopsys.com,Public,"Figures are for fiscal year ended Oct. 31, 2023. Market value as of March 28, 2024.",87179.0,2024-06-04
585,Harley-Davidson,HOG,Transportation,Transportation Equipment,yes,no,no,yes,7.0,yes,no,n/a,no,no,no,6400,5973.3,5836.5,1.4,706.6,-4.7,12140.6,Jochen Zeitz,U.S.,Milwaukee,Wisconsin,https://www.harley-davidson.com,Public,"Market value as of March 28, 2024.",5973.0,2024-06-04
586,Frontier Communications,FYBR,Telecommunications,Telecommunications,yes,no,no,no,4.0,yes,no,n/a,no,no,no,13297,6022.6,5751.0,-0.6,29.0,-93.4,20693.0,Nick Jeffery,U.S.,Dallas,Texas,https://www.frontier.com,Public,"Market value as of March 28, 2024.",6023.0,2024-06-04
587,Primoris Services,PRIM,Engineering & Construction,Engineering & Construction,yes,no,no,yes,114.0,yes,no,n/a,no,no,no,14058,2282.6,5715.3,29.3,126.1,-5.2,3827.4,Thomas E. McCormick,U.S.,Dallas,Texas,https://www.prim.com,Public,"Market value as of March 28, 2024.",2283.0,2024-06-04
588,Carlisle,CSL,Materials,"Building Materials, Glass",yes,no,no,no,-58.0,no,yes,n/a,no,no,no,11100,18732.0,5700.1,-13.5,767.4,-16.9,6620.0,D. Christian Koch,U.S.,Scottsdale,Arizona,https://www.carlisle.com,Public,"Includes revenues from discontinued operations. Market value as of March 28, 2024.",18732.0,2024-06-04
589,Simon Property Group,SPG,Financials,Real estate,yes,no,no,no,35.0,yes,no,n/a,no,yes,no,2750,50980.3,5658.8,6.9,2283.1,6.7,34283.5,David E. Simon,U.S.,Indianapolis,Indiana,https://www.simon.com,Public,"A real estate investment trust. Market value as of March 28, 2024.",50980.0,2024-06-04
590,Hanesbrands,HBI,Apparel,Apparel,no,no,no,no,-39.0,no,yes,n/a,no,no,no,47520,2039.0,5636.5,-11.0,-17.7,,5640.3,Stephen B. Bratspies,U.S.,Winston-Salem,North Carolina,https://www.hanes.com,Public,"Market value as of March 28, 2024.",2039.0,2024-06-04
591,Anywhere Real Estate,HOUS,Financials,Real estate,no,no,no,no,-74.0,no,yes,n/a,no,no,no,8028,686.5,5636.0,-18.4,-97.0,,5839.0,Ryan M. Schneider,U.S.,Madison,New Jersey,https://www.anywhere.re,Public,"Market value as of March 28, 2024.",687.0,2024-06-04
592,Teledyne Technologies,TDY,Aerospace & Defense,Aerospace & Defense,yes,no,no,yes,19.0,yes,no,n/a,no,no,no,14900,20341.7,5635.5,3.2,885.7,12.3,14527.9,Edwin Roks,U.S.,Thousand Oaks,California,https://www.teledyne.com,Public,"Market value as of March 28, 2024.",20342.0,2024-06-04
593,CME Group,CME,Financials,Securities,yes,no,no,yes,53.0,yes,no,n/a,no,no,no,3565,77510.5,5578.9,11.1,3226.2,19.9,129706.1,Terrence A. Duffy,U.S.,Chicago,Illinois,https://www.cmegroup.com,Public,"Market value as of March 28, 2024.",77511.0,2024-06-04
594,Juniper Networks,JNPR,Technology,Network and Other Communications Equipment,yes,no,no,yes,29.0,yes,no,n/a,no,no,no,11144,12021.6,5564.5,5.0,310.2,-34.1,9518.5,Rami Rahim,U.S.,Sunnyvale,California,https://www.juniper.net,Public,"Market value as of March 28, 2024.",12022.0,2024-06-04
595,Coty,COTY,Household Products,Household and Personal Products,yes,no,yes,yes,27.0,yes,no,n/a,no,no,no,11350,10706.2,5554.1,4.7,508.2,95.8,12661.6,Sue Y. Nabi,U.S.,New York,New York,https://www.coty.com,Public,"Figures are for fiscal year ended June 30, 2023. Market value as of March 28, 2024.",10706.0,2024-06-04
596,Pool,POOL,Wholesalers,Wholesalers: Diversified,yes,no,no,no,-30.0,no,yes,n/a,no,no,no,6100,15528.9,5541.6,-10.3,523.2,-30.1,3428.1,Peter D. Arvan,U.S.,Covington,Louisiana,https://www.poolcorp.com,Public,"Market value as of March 28, 2024.",15529.0,2024-06-04
597,Evergy,EVRG,Energy,Utilities: Gas and Electric,yes,no,no,yes,-13.0,no,yes,n/a,no,no,no,4658,12263.8,5508.2,-6.0,731.3,-2.8,30976.1,David A. Campbell,U.S.,Kansas City,Missouri,https://investors.evergy.com,Public,"Market value as of March 28, 2024.",12264.0,2024-06-04
598,Marvell Technology,MRVL,Technology,Semiconductors and Other Electronic Components,no,no,no,no,-18.0,no,yes,n/a,no,no,no,6544,61382.1,5507.7,-7.0,-933.4,,21228.5,Matthew J. Murphy,U.S.,Wilmington,Delaware,https://www.marvell.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",61382.0,2024-06-04
599,NiSource,NI,Energy,Utilities: Gas and Electric,yes,no,no,yes,-13.0,no,yes,n/a,no,no,no,7388,12378.5,5505.4,-5.9,714.3,-11.2,31077.2,Lloyd M. Yates,U.S.,Merrillville,Indiana,https://www.nisource.com,Public,"Market value as of March 28, 2024.",12379.0,2024-06-04
600,SS&C Technologies Holdings,SSNC,Technology,Computer Software,yes,yes,no,no,25.0,yes,no,n/a,no,no,no,26600,15907.2,5502.8,4.2,607.1,-6.6,18102.5,William C. Stone,U.S.,Windsor,Connecticut,https://www.ssctech.com,Public,"Market value as of March 28, 2024.",15907.0,2024-06-04
601,Schneider National,SNDR,Transportation,Transportation and Logistics,yes,no,no,yes,-72.0,no,yes,n/a,no,no,no,17300,3992.5,5498.9,-16.7,238.5,-47.9,4557.2,Mark B. Rourke,U.S.,Green Bay,Wisconsin,https://www.schneider.com,Public,"Market value as of March 28, 2024.",3993.0,2024-06-04
602,Autodesk,ADSK,Technology,Computer Software,yes,no,no,no,46.0,yes,no,n/a,no,no,no,13700,55707.8,5497.0,9.8,906.0,10.1,9912.0,Andrew Anagnost,U.S.,San Francisco,California,https://www.autodesk.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",55708.0,2024-06-04
603,Sealed Air,SEE,Materials,"Packaging, Containers",yes,no,no,yes,-3.0,no,yes,n/a,no,no,no,17000,5375.2,5488.9,-2.7,341.6,-30.5,7200.6,Patrick Kivits,U.S.,Charlotte,North Carolina,https://www.sealedair.com,Public,"Market value as of March 28, 2024.",5375.0,2024-06-04
604,Iron Mountain,IRM,Business Services,Diversified Outsourcing Services,yes,no,no,yes,37.0,yes,no,n/a,no,no,no,27000,23443.4,5480.3,7.4,184.2,-66.9,17473.8,William L. Meaney,U.S.,Portsmouth,New Hampshire,https://www.ironmountain.com,Public,"A real estate investment trust. Market value as of March 28, 2024.",23443.0,2024-06-04
605,Digital Realty Trust,DLR,Financials,Real estate,yes,no,no,yes,68.0,yes,no,n/a,no,no,no,3664,44982.8,5477.1,16.7,948.8,151.2,44113.3,Andrew P. Power,U.S.,Austin,Texas,https://www.digitalrealty.com,Public,"A real estate investment trust. Market value as of March 28, 2024.",44983.0,2024-06-04
606,Keysight Technologies,KEYS,Technology,"Scientific,Photographic and  Control Equipment",yes,no,no,no,8.0,yes,no,n/a,no,no,no,14900,27297.0,5464.0,0.8,1057.0,-6.0,8683.0,Satish Dhanasekaran,U.S.,Santa Rosa,California,https://www.keysight.com,Public,"Figures are for fiscal year ended Oct. 31, 2023. Market value as of March 28, 2024.",27297.0,2024-06-04
607,Globe Life,GL,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,25.0,yes,no,n/a,no,no,no,3636,10943.1,5447.5,4.5,970.8,31.2,28051.5,Frank M. Svoboda,U.S.,McKinney,Texas,https://www.globelifeinsurance.com,Public,"Market value as of March 28, 2024.",10943.0,2024-06-04
608,Parsons,PSN,Aerospace & Defense,Aerospace & Defense,yes,no,yes,yes,115.0,yes,no,n/a,no,no,no,18500,8778.6,5442.7,29.7,161.1,66.7,4804.1,Carey A. Smith,U.S.,Chantilly,Virginia,https://www.parsons.com,Public,"Market value as of March 28, 2024.",8779.0,2024-06-04
609,Mattel,MAT,Household Products,"Toys, Sporting Goods",yes,no,no,no,3.0,yes,no,n/a,no,no,no,33000,6814.6,5441.2,0.1,214.4,-45.6,6435.8,Ynon Kreiz,U.S.,El Segundo,California,https://www.mattel.com,Public,"Market value as of March 28, 2024.",6815.0,2024-06-04
610,Southwest Gas Holdings,SWX,Energy,Utilities: Gas and Electric,yes,no,yes,yes,43.0,yes,no,n/a,no,no,no,14943,5453.5,5434.0,9.6,150.9,,11869.9,Karen S. Haller,U.S.,Las Vegas,Nevada,https://www.swgasholdings.com,Public,"Market value as of March 28, 2024.",5454.0,2024-06-04
611,CUNA Mutual Group (TruStage),,Financials,"Insurance: Life, Health (stock)",yes,no,no,no,24.0,yes,no,n/a,no,no,no,4100,,5425.6,4.3,139.7,-59.3,44970.3,Terrance  Williams,U.S.,Madison,Wisconsin,https://www.cunamutual.com,Private,"A mutual company, not a stock company. It is grouped with stock companies because it reports according to Generally Accepted Accounting Principles.",,2024-06-04
612,Clean Harbors,CLH,Business Services,Waste Management,yes,no,no,yes,25.0,yes,no,n/a,no,no,no,21280,10858.8,5409.2,4.7,377.9,-8.2,6382.9,Eric W. Gerstenberg,U.S.,Norwell,Massachusetts,https://www.cleanharbors.com,Public,"Market value as of March 28, 2024.",10859.0,2024-06-04
613,Cornerstone Building Brands,,Materials,"Building Materials, Glass",no,no,yes,no,-75.0,no,yes,n/a,no,no,no,17600,,5402.4,-16.6,-75.5,-118.0,6933.3,Rose Lee,U.S.,Cary,North Carolina,https://www.cornerstonebuildingbrands.com,Private,"Went private, July 25, 2022.",3089.0,2024-06-04
614,Hubbell,HUBB,Industrials,"Electronics, Electrical Equip.",yes,no,no,yes,37.0,yes,no,n/a,no,no,no,18317,22281.0,5372.9,8.0,759.8,39.2,6914.0,Gerben W. Bakker,U.S.,Shelton,Connecticut,https://www.hubbell.com,Public,"Market value as of March 28, 2024.",22281.0,2024-06-04
615,Spirit Airlines,SAVE,Transportation,Airlines,no,no,no,yes,28.0,yes,no,n/a,no,no,no,13167,529.9,5362.5,5.8,-447.5,,9417.2,Edward M. Christie III,U.S.,Miramar,Florida,https://www.spirit.com,Public,"Market value as of March 28, 2024.",530.0,2024-06-04
616,Lamb Weston Holdings,LW,"Food, Beverages & Tobacco",Food Consumer Products,yes,no,no,yes,117.0,yes,no,n/a,no,no,no,10300,15380.0,5350.6,30.5,1008.9,402.2,6519.8,Thomas P. Werner,U.S.,Eagle,Idaho,https://www.lambweston.com,Public,"Figures are for fiscal year ended May 31, 2023. Market value as of March 28, 2024.",15380.0,2024-06-04
617,Take-Two Interactive Software,TTWO,Media,Entertainment,no,no,no,yes,201.0,yes,no,n/a,no,no,no,11580,25330.4,5349.9,52.6,-1124.7,-369.1,15862.1,Strauss H. Zelnick,U.S.,New York,New York,https://www.take2games.com,Public,"Figures are for fiscal year ended March 31, 2023. Market value as of March 28, 2024.",25330.0,2024-06-04
618,GMS,GMS,Wholesalers,Wholesalers: Diversified,yes,no,no,yes,60.0,yes,no,n/a,no,no,no,7007,3877.4,5329.3,15.0,333.0,21.8,3267.0,John C. Turner Jr.,U.S.,Tucker,Georgia,https://www.gms.com,Public,"Figures are for fiscal year ended April 30, 2023. Market value as of March 28, 2024.",3877.0,2024-06-04
619,Penn Mutual Life Insurance,,Financials,"Insurance: Life, Health (stock)",yes,no,no,yes,70.0,yes,no,n/a,no,no,no,3370,,5318.9,16.4,201.0,12.0,46740.7,David M. O'Malley,U.S.,Horsham,Pennsylvania,https://www.pennmutual.com,Private,"A mutual company, not a stock company. It is grouped with stock companies because it reports according to Generally Accepted Accounting Principles.",,2024-06-04
620,Landstar System,LSTR,Transportation,"Trucking, Truck Leasing",yes,no,no,yes,-131.0,no,yes,n/a,no,no,no,1468,6893.5,5313.5,-28.6,264.4,-38.6,1801.8,Frank A. Lonegro,U.S.,Jacksonville,Florida,https://www.landstar.com,Public,"Market value as of March 28, 2024.",6894.0,2024-06-04
621,Host Hotels & Resorts,HST,Financials,Real estate,yes,no,no,no,35.0,yes,no,n/a,no,no,no,163,14550.9,5311.0,8.2,740.0,16.9,12243.0,James F. Risoleo,U.S.,Bethesda,Maryland,https://www.hosthotels.com,Public,"A real estate investment trust. Market value as of March 28, 2024.",14551.0,2024-06-04
622,Fortinet,FTNT,Technology,Computer Software,yes,yes,no,yes,81.0,yes,no,n/a,no,no,no,13568,52122.6,5304.8,20.1,1147.8,33.9,7258.9,Ken Xie,U.S.,Sunnyvale,California,https://www.fortinet.com,Public,"Market value as of March 28, 2024.",52123.0,2024-06-04
623,OneMain Holdings,OMF,Financials,Diversified Financials,yes,no,no,no,21.0,yes,no,n/a,no,no,no,9100,6118.8,5299.0,4.6,641.0,-27.0,24294.0,Douglas H. Shulman,U.S.,Evansville,Indiana,https://onemainfinancial.com,Public,"Market value as of March 28, 2024.",6119.0,2024-06-04
624,GameStop,GME,Retailing,Specialty Retailers: Other,yes,no,no,no,-47.0,no,yes,n/a,no,no,no,15750,3829.5,5272.8,-11.0,6.7,,2709.0,Ryan Cohen,U.S.,Grapevine,Texas,https://www.gamestop.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",3830.0,2024-06-04
625,Equifax,EFX,Business Services,Financial Data Services,yes,no,no,yes,15.0,yes,no,n/a,no,no,no,14900,33234.3,5265.2,2.8,545.3,-21.7,12280.0,Mark W. Begor,U.S.,Atlanta,Georgia,https://www.equifax.com,Public,"Market value as of March 28, 2024.",33234.0,2024-06-04
626,American Eagle Outfitters,AEO,Retailing,Specialty Retailers: Apparel,yes,no,no,yes,23.0,yes,no,n/a,no,no,no,26700,5084.7,5261.8,5.4,170.0,35.9,3557.9,Jay L. Schottenstein,U.S.,Pittsburgh,Pennsylvania,https://www.aeo-inc.com,Public,"Figures are for fiscal year ended Jan. 31, 2024. Market value as of March 28, 2024.",5085.0,2024-06-04
